servo1 servo2 servo3 distance row column
159 29 90 536 13 71
157 29 90 591 13 70
155 29 90 592 13 69
153 29 90 458 13 68
150 29 90 593 13 67
148 29 90 674 13 66
146 29 90 706 13 65
144 29 90 389 13 64
141 29 90 749 13 63
139 29 90 815 13 62
137 29 90 827 13 61
135 29 90 874 13 60
132 29 90 947 13 59
130 29 90 969 13 58
128 29 90 1034 13 57
126 29 90 1099 13 56
123 29 90 1 13 55
121 29 90 1176 13 54
119 29 90 1223 13 53
117 29 90 1231 13 52
114 29 90 1200 13 51
112 29 90 1197 13 50
110 29 90 1201 13 49
108 29 90 288 13 48
105 29 90 255 13 47
103 29 90 282 13 46
101 29 90 273 13 45
99 29 90 249 13 44
96 29 90 1169 13 43
94 29 90 247 13 42
92 29 90 265 13 41
90 29 90 259 13 40
87 29 90 248 13 39
85 29 90 275 13 38
83 29 90 252 13 37
81 29 90 1195 13 36
78 29 90 270 13 35
76 29 90 298 13 34
74 29 90 284 13 33
72 29 90 275 13 32
69 29 90 295 13 31
67 29 90 924 13 30
65 29 90 309 13 29
63 29 90 337 13 28
60 29 90 773 13 27
58 29 90 715 13 26
56 29 90 689 13 25
54 29 90 657 13 24
51 29 90 628 13 23
49 29 90 580 13 22
47 29 90 492 13 21
45 29 90 438 13 20
42 29 90 466 13 19
40 29 90 468 13 18
38 29 90 466 13 17
36 29 90 487 13 16
33 29 90 471 13 15
31 29 90 461 13 14
29 29 90 454 13 13
27 29 90 448 13 12
24 29 90 440 13 11
22 29 90 433 13 10
20 29 90 428 13 9
18 29 90 422 13 8
15 29 90 419 13 7
13 29 90 411 13 6
11 29 90 409 13 5
9 29 90 407 13 4
6 29 90 405 13 3
4 29 90 403 13 2
2 29 90 402 13 1
0 29 90 402 13 0
0 31 90 407 14 0
2 31 90 405 14 1
4 31 90 407 14 2
6 31 90 407 14 3
9 31 90 410 14 4
11 31 90 414 14 5
13 31 90 414 14 6
15 31 90 419 14 7
18 31 90 420 14 8
20 31 90 429 14 9
22 31 90 433 14 10
24 31 90 435 14 11
27 31 90 446 14 12
29 31 90 452 14 13
31 31 90 458 14 14
33 31 90 465 14 15
36 31 90 474 14 16
38 31 90 493 14 17
40 31 90 490 14 18
42 31 90 470 14 19
45 31 90 472 14 20
47 31 90 557 14 21
49 31 90 570 14 22
51 31 90 474 14 23
54 31 90 402 14 24
56 31 90 420 14 25
58 31 90 686 14 26
60 31 90 702 14 27
63 31 90 748 14 28
65 31 90 340 14 29
67 31 90 344 14 30
69 31 90 876 14 31
72 31 90 922 14 32
74 31 90 1021 14 33
76 31 90 270 14 34
78 31 90 1091 14 35
